unicode,emoji,cldr,cldr_link
U+1F600,😀,grinning face,grinning-face
U+1F603,😃,grinning face with big eyes,grinning-face-with-big-eyes
U+1F604,😄,grinning face with smiling eyes,grinning-face-with-smiling-eyes
U+1F601,😁,beaming face with smiling eyes,beaming-face-with-smiling-eyes
U+1F606,😆,grinning squinting face,grinning-squinting-face
U+1F605,😅,grinning face with sweat,grinning-face-with-sweat
U+1F923,🤣,rolling on the floor laughing,rolling-on-the-floor-laughing
U+1F602,😂,face with tears of joy,face-with-tears-of-joy
U+1F642,🙂,slightly smiling face,slightly-smiling-face
U+1F643,🙃,upside-down face,upside-down-face
U+1FAE0,🫠,melting face,melting-face
U+1F609,😉,winking face,winking-face
U+1F60A,😊,smiling face with smiling eyes,smiling-face-with-smiling-eyes
U+1F607,😇,smiling face with halo,smiling-face-with-halo
U+1F970,🥰,smiling face with hearts,smiling-face-with-hearts
U+1F60D,😍,smiling face with heart-eyes,smiling-face-with-heart-eyes
U+1F929,🤩,star-struck,star-struck
U+1F618,😘,face blowing a kiss,face-blowing-a-kiss
U+1F617,😗,kissing face,kissing-face
U+263A,☺,smiling face,smiling-face
U+1F61A,😚,kissing face with closed eyes,kissing-face-with-closed-eyes
U+1F619,😙,kissing face with smiling eyes,kissing-face-with-smiling-eyes
U+1F972,🥲,smiling face with tear,smiling-face-with-tear
U+1F60B,😋,face savoring food,face-savoring-food
U+1F61B,😛,face with tongue,face-with-tongue
U+1F61C,😜,winking face with tongue,winking-face-with-tongue
U+1F92A,🤪,zany face,zany-face
U+1F61D,😝,squinting face with tongue,squinting-face-with-tongue
U+1F911,🤑,money-mouth face,money-mouth-face
U+1F917,🤗,smiling face with open hands,hugging-face
U+1F92D,🤭,face with hand over mouth,face-with-hand-over-mouth
U+1FAE2,🫢,face with open eyes and hand over mouth,face-with-open-eyes-and-hand-over-mouth
U+1FAE3,🫣,face with peeking eye,face-with-peeking-eye
U+1F92B,🤫,shushing face,shushing-face
U+1F914,🤔,thinking face,thinking-face
U+1FAE1,🫡,saluting face,saluting-face
U+1F910,🤐,zipper-mouth face,zipper-mouth-face
U+1F928,🤨,face with raised eyebrow,face-with-raised-eyebrow
U+1F610,😐,neutral face,neutral-face
U+1F611,😑,expressionless face,expressionless-face
U+1F636,😶,face without mouth,face-without-mouth
U+1FAE5,🫥,dotted line face,dotted-line-face
U+1F636 U+200D U+1F32B U+FE0F,😶‍🌫️,face in clouds,face-in-clouds
U+1F60F,😏,smirking face,smirking-face
U+1F612,😒,unamused face,unamused-face
U+1F644,🙄,face with rolling eyes,face-with-rolling-eyes
U+1F62C,😬,grimacing face,grimacing-face
U+1F62E U+200D U+1F4A8,😮‍💨,face exhaling,face-exhaling
U+1F925,🤥,lying face,lying-face
U+1FAE8,🫨,⊛ shaking face,shaking-face
U+1F60C,😌,relieved face,relieved-face
U+1F614,😔,pensive face,pensive-face
U+1F62A,😪,sleepy face,sleepy-face
U+1F924,🤤,drooling face,drooling-face
U+1F634,😴,sleeping face,sleeping-face
U+1F637,😷,face with medical mask,face-with-medical-mask
U+1F912,🤒,face with thermometer,face-with-thermometer
U+1F915,🤕,face with head-bandage,face-with-head-bandage
U+1F922,🤢,nauseated face,nauseated-face
U+1F92E,🤮,face vomiting,face-vomiting
U+1F927,🤧,sneezing face,sneezing-face
U+1F975,🥵,hot face,hot-face
U+1F976,🥶,cold face,cold-face
U+1F974,🥴,woozy face,woozy-face
U+1F635,😵,face with crossed-out eyes,dizzy-face
U+1F635 U+200D U+1F4AB,😵‍💫,face with spiral eyes,face-with-spiral-eyes
U+1F92F,🤯,exploding head,exploding-head
U+1F920,🤠,cowboy hat face,cowboy-hat-face
U+1F973,🥳,partying face,partying-face
U+1F978,🥸,disguised face,disguised-face
U+1F60E,😎,smiling face with sunglasses,smiling-face-with-sunglasses
U+1F913,🤓,nerd face,nerd-face
U+1F9D0,🧐,face with monocle,face-with-monocle
U+1F615,😕,confused face,confused-face
U+1FAE4,🫤,face with diagonal mouth,face-with-diagonal-mouth
U+1F61F,😟,worried face,worried-face
U+1F641,🙁,slightly frowning face,slightly-frowning-face
U+2639,☹,frowning face,frowning-face
U+1F62E,😮,face with open mouth,face-with-open-mouth
U+1F62F,😯,hushed face,hushed-face
U+1F632,😲,astonished face,astonished-face
U+1F633,😳,flushed face,flushed-face
U+1F97A,🥺,pleading face,pleading-face
U+1F979,🥹,face holding back tears,face-holding-back-tears
U+1F626,😦,frowning face with open mouth,frowning-face-with-open-mouth
U+1F627,😧,anguished face,anguished-face
U+1F628,😨,fearful face,fearful-face
U+1F630,😰,anxious face with sweat,anxious-face-with-sweat
U+1F625,😥,sad but relieved face,sad-but-relieved-face
U+1F622,😢,crying face,crying-face
U+1F62D,😭,loudly crying face,loudly-crying-face
U+1F631,😱,face screaming in fear,face-screaming-in-fear
U+1F616,😖,confounded face,confounded-face
U+1F623,😣,persevering face,persevering-face
U+1F61E,😞,disappointed face,disappointed-face
U+1F613,😓,downcast face with sweat,downcast-face-with-sweat
U+1F629,😩,weary face,weary-face
U+1F62B,😫,tired face,tired-face
U+1F971,🥱,yawning face,yawning-face
U+1F624,😤,face with steam from nose,face-with-steam-from-nose
U+1F621,😡,enraged face,pouting-face
U+1F620,😠,angry face,angry-face
U+1F92C,🤬,face with symbols on mouth,face-with-symbols-on-mouth
U+1F608,😈,smiling face with horns,smiling-face-with-horns
U+1F47F,👿,angry face with horns,angry-face-with-horns
U+1F480,💀,skull,skull
U+2620,☠,skull and crossbones,skull-and-crossbones
U+1F4A9,💩,pile of poo,pile-of-poo
U+1F921,🤡,clown face,clown-face
U+1F479,👹,ogre,ogre
U+1F47A,👺,goblin,goblin
U+1F47B,👻,ghost,ghost
U+1F47D,👽,alien,alien
U+1F47E,👾,alien monster,alien-monster
U+1F916,🤖,robot,robot
U+1F63A,😺,grinning cat,grinning-cat
U+1F638,😸,grinning cat with smiling eyes,grinning-cat-with-smiling-eyes
U+1F639,😹,cat with tears of joy,cat-with-tears-of-joy
U+1F63B,😻,smiling cat with heart-eyes,smiling-cat-with-heart-eyes
U+1F63C,😼,cat with wry smile,cat-with-wry-smile
U+1F63D,😽,kissing cat,kissing-cat
U+1F640,🙀,weary cat,weary-cat
U+1F63F,😿,crying cat,crying-cat
U+1F63E,😾,pouting cat,pouting-cat
U+1F648,🙈,see-no-evil monkey,see-no-evil-monkey
U+1F649,🙉,hear-no-evil monkey,hear-no-evil-monkey
U+1F64A,🙊,speak-no-evil monkey,speak-no-evil-monkey
U+1F48C,💌,love letter,love-letter
U+1F498,💘,heart with arrow,heart-with-arrow
U+1F49D,💝,heart with ribbon,heart-with-ribbon
U+1F496,💖,sparkling heart,sparkling-heart
U+1F497,💗,growing heart,growing-heart
U+1F493,💓,beating heart,beating-heart
U+1F49E,💞,revolving hearts,revolving-hearts
U+1F495,💕,two hearts,two-hearts
U+1F49F,💟,heart decoration,heart-decoration
U+2763,❣,heart exclamation,heart-exclamation
U+1F494,💔,broken heart,broken-heart
U+2764 U+FE0F U+200D U+1F525,❤️‍🔥,heart on fire,heart-on-fire
U+2764 U+FE0F U+200D U+1FA79,❤️‍🩹,mending heart,mending-heart
U+2764,❤,red heart,red-heart
U+1FA77,🩷,⊛ pink heart,pink-heart
U+1F9E1,🧡,orange heart,orange-heart
U+1F49B,💛,yellow heart,yellow-heart
U+1F49A,💚,green heart,green-heart
U+1F499,💙,blue heart,blue-heart
U+1FA75,🩵,⊛ light blue heart,light-blue-heart
U+1F49C,💜,purple heart,purple-heart
U+1F90E,🤎,brown heart,brown-heart
U+1F5A4,🖤,black heart,black-heart
U+1FA76,🩶,⊛ grey heart,grey-heart
U+1F90D,🤍,white heart,white-heart
U+1F48B,💋,kiss mark,kiss-mark
U+1F4AF,💯,hundred points,hundred-points
U+1F4A2,💢,anger symbol,anger-symbol
U+1F4A5,💥,collision,collision
U+1F4AB,💫,dizzy,dizzy
U+1F4A6,💦,sweat droplets,sweat-droplets
U+1F4A8,💨,dashing away,dashing-away
U+1F573,🕳,hole,hole
U+1F4AC,💬,speech balloon,speech-balloon
U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,👁️‍🗨️,eye in speech bubble,eye-in-speech-bubble
U+1F5E8,🗨,left speech bubble,left-speech-bubble
U+1F5EF,🗯,right anger bubble,right-anger-bubble
U+1F4AD,💭,thought balloon,thought-balloon
U+1F4A4,💤,ZZZ,zzz
U+1F44B,👋,waving hand,waving-hand
U+1F91A,🤚,raised back of hand,raised-back-of-hand
U+1F590,🖐,hand with fingers splayed,hand-with-fingers-splayed
U+270B,✋,raised hand,raised-hand
U+1F596,🖖,vulcan salute,vulcan-salute
U+1FAF1,🫱,rightwards hand,rightwards-hand
U+1FAF2,🫲,leftwards hand,leftwards-hand
U+1FAF3,🫳,palm down hand,palm-down-hand
U+1FAF4,🫴,palm up hand,palm-up-hand
U+1FAF7,🫷,⊛ leftwards pushing hand,leftwards-pushing-hand
U+1FAF8,🫸,⊛ rightwards pushing hand,rightwards-pushing-hand
U+1F44C,👌,OK hand,ok-hand
U+1F90C,🤌,pinched fingers,pinched-fingers
U+1F90F,🤏,pinching hand,pinching-hand
U+270C,✌,victory hand,victory-hand
U+1F91E,🤞,crossed fingers,crossed-fingers
U+1FAF0,🫰,hand with index finger and thumb crossed,hand-with-index-finger-and-thumb-crossed
U+1F91F,🤟,love-you gesture,love-you-gesture
U+1F918,🤘,sign of the horns,sign-of-the-horns
U+1F919,🤙,call me hand,call-me-hand
U+1F448,👈,backhand index pointing left,backhand-index-pointing-left
U+1F449,👉,backhand index pointing right,backhand-index-pointing-right
U+1F446,👆,backhand index pointing up,backhand-index-pointing-up
U+1F595,🖕,middle finger,middle-finger
U+1F447,👇,backhand index pointing down,backhand-index-pointing-down
U+261D,☝,index pointing up,index-pointing-up
U+1FAF5,🫵,index pointing at the viewer,index-pointing-at-the-viewer
U+1F44D,👍,thumbs up,thumbs-up
U+1F44E,👎,thumbs down,thumbs-down
U+270A,✊,raised fist,raised-fist
U+1F44A,👊,oncoming fist,oncoming-fist
U+1F91B,🤛,left-facing fist,left-facing-fist
U+1F91C,🤜,right-facing fist,right-facing-fist
U+1F44F,👏,clapping hands,clapping-hands
U+1F64C,🙌,raising hands,raising-hands
U+1FAF6,🫶,heart hands,heart-hands
U+1F450,👐,open hands,open-hands
U+1F932,🤲,palms up together,palms-up-together
U+1F91D,🤝,handshake,handshake
U+1F64F,🙏,folded hands,folded-hands
U+270D,✍,writing hand,writing-hand
U+1F485,💅,nail polish,nail-polish
U+1F933,🤳,selfie,selfie
U+1F4AA,💪,flexed biceps,flexed-biceps
U+1F9BE,🦾,mechanical arm,mechanical-arm
U+1F9BF,🦿,mechanical leg,mechanical-leg
U+1F9B5,🦵,leg,leg
U+1F9B6,🦶,foot,foot
U+1F442,👂,ear,ear
U+1F9BB,🦻,ear with hearing aid,ear-with-hearing-aid
U+1F443,👃,nose,nose
U+1F9E0,🧠,brain,brain
U+1FAC0,🫀,anatomical heart,anatomical-heart
U+1FAC1,🫁,lungs,lungs
U+1F9B7,🦷,tooth,tooth
U+1F9B4,🦴,bone,bone
U+1F440,👀,eyes,eyes
U+1F441,👁,eye,eye
U+1F445,👅,tongue,tongue
U+1F444,👄,mouth,mouth
U+1FAE6,🫦,biting lip,biting-lip
U+1F476,👶,baby,baby
U+1F9D2,🧒,child,child
U+1F466,👦,boy,boy
U+1F467,👧,girl,girl
U+1F9D1,🧑,person,person
U+1F471,👱,person: blond hair,person-blond-hair
U+1F468,👨,man,man
U+1F9D4,🧔,person: beard,person-beard
U+1F9D4 U+200D U+2642 U+FE0F,🧔‍♂️,man: beard,man-beard
U+1F9D4 U+200D U+2640 U+FE0F,🧔‍♀️,woman: beard,woman-beard
U+1F468 U+200D U+1F9B0,👨‍🦰,man: red hair,man-red-hair
U+1F468 U+200D U+1F9B1,👨‍🦱,man: curly hair,man-curly-hair
U+1F468 U+200D U+1F9B3,👨‍🦳,man: white hair,man-white-hair
U+1F468 U+200D U+1F9B2,👨‍🦲,man: bald,man-bald
U+1F469,👩,woman,woman
U+1F469 U+200D U+1F9B0,👩‍🦰,woman: red hair,woman-red-hair
U+1F9D1 U+200D U+1F9B0,🧑‍🦰,person: red hair,person-red-hair
U+1F469 U+200D U+1F9B1,👩‍🦱,woman: curly hair,woman-curly-hair
U+1F9D1 U+200D U+1F9B1,🧑‍🦱,person: curly hair,person-curly-hair
U+1F469 U+200D U+1F9B3,👩‍🦳,woman: white hair,woman-white-hair
U+1F9D1 U+200D U+1F9B3,🧑‍🦳,person: white hair,person-white-hair
U+1F469 U+200D U+1F9B2,👩‍🦲,woman: bald,woman-bald
U+1F9D1 U+200D U+1F9B2,🧑‍🦲,person: bald,person-bald
U+1F471 U+200D U+2640 U+FE0F,👱‍♀️,woman: blond hair,woman-blond-hair
U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,man: blond hair,man-blond-hair
U+1F9D3,🧓,older person,older-person
U+1F474,👴,old man,old-man
U+1F475,👵,old woman,old-woman
U+1F64D,🙍,person frowning,person-frowning
U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,man frowning,man-frowning
U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,woman frowning,woman-frowning
U+1F64E,🙎,person pouting,person-pouting
U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,man pouting,man-pouting
U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,woman pouting,woman-pouting
U+1F645,🙅,person gesturing NO,person-gesturing-no
U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,man gesturing NO,man-gesturing-no
U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,woman gesturing NO,woman-gesturing-no
U+1F646,🙆,person gesturing OK,person-gesturing-ok
U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,man gesturing OK,man-gesturing-ok
U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,woman gesturing OK,woman-gesturing-ok
U+1F481,💁,person tipping hand,person-tipping-hand
U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,man tipping hand,man-tipping-hand
U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,woman tipping hand,woman-tipping-hand
U+1F64B,🙋,person raising hand,person-raising-hand
U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,man raising hand,man-raising-hand
U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,woman raising hand,woman-raising-hand
U+1F9CF,🧏,deaf person,deaf-person
U+1F9CF U+200D U+2642 U+FE0F,🧏‍♂️,deaf man,deaf-man
U+1F9CF U+200D U+2640 U+FE0F,🧏‍♀️,deaf woman,deaf-woman
U+1F647,🙇,person bowing,person-bowing
U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,man bowing,man-bowing
U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,woman bowing,woman-bowing
U+1F926,🤦,person facepalming,person-facepalming
U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,man facepalming,man-facepalming
U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,woman facepalming,woman-facepalming
U+1F937,🤷,person shrugging,person-shrugging
U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,man shrugging,man-shrugging
U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,woman shrugging,woman-shrugging
U+1F9D1 U+200D U+2695 U+FE0F,🧑‍⚕️,health worker,health-worker
U+1F468 U+200D U+2695 U+FE0F,👨‍⚕️,man health worker,man-health-worker
U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,woman health worker,woman-health-worker
U+1F9D1 U+200D U+1F393,🧑‍🎓,student,student
U+1F468 U+200D U+1F393,👨‍🎓,man student,man-student
U+1F469 U+200D U+1F393,👩‍🎓,woman student,woman-student
U+1F9D1 U+200D U+1F3EB,🧑‍🏫,teacher,teacher
U+1F468 U+200D U+1F3EB,👨‍🏫,man teacher,man-teacher
U+1F469 U+200D U+1F3EB,👩‍🏫,woman teacher,woman-teacher
U+1F9D1 U+200D U+2696 U+FE0F,🧑‍⚖️,judge,judge
U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,man judge,man-judge
U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,woman judge,woman-judge
U+1F9D1 U+200D U+1F33E,🧑‍🌾,farmer,farmer
U+1F468 U+200D U+1F33E,👨‍🌾,man farmer,man-farmer
U+1F469 U+200D U+1F33E,👩‍🌾,woman farmer,woman-farmer
U+1F9D1 U+200D U+1F373,🧑‍🍳,cook,cook
U+1F468 U+200D U+1F373,👨‍🍳,man cook,man-cook
U+1F469 U+200D U+1F373,👩‍🍳,woman cook,woman-cook
U+1F9D1 U+200D U+1F527,🧑‍🔧,mechanic,mechanic
U+1F468 U+200D U+1F527,👨‍🔧,man mechanic,man-mechanic
U+1F469 U+200D U+1F527,👩‍🔧,woman mechanic,woman-mechanic
U+1F9D1 U+200D U+1F3ED,🧑‍🏭,factory worker,factory-worker
U+1F468 U+200D U+1F3ED,👨‍🏭,man factory worker,man-factory-worker
U+1F469 U+200D U+1F3ED,👩‍🏭,woman factory worker,woman-factory-worker
U+1F9D1 U+200D U+1F4BC,🧑‍💼,office worker,office-worker
U+1F468 U+200D U+1F4BC,👨‍💼,man office worker,man-office-worker
U+1F469 U+200D U+1F4BC,👩‍💼,woman office worker,woman-office-worker
U+1F9D1 U+200D U+1F52C,🧑‍🔬,scientist,scientist
U+1F468 U+200D U+1F52C,👨‍🔬,man scientist,man-scientist
U+1F469 U+200D U+1F52C,👩‍🔬,woman scientist,woman-scientist
U+1F9D1 U+200D U+1F4BB,🧑‍💻,technologist,technologist
U+1F468 U+200D U+1F4BB,👨‍💻,man technologist,man-technologist
U+1F469 U+200D U+1F4BB,👩‍💻,woman technologist,woman-technologist
U+1F9D1 U+200D U+1F3A4,🧑‍🎤,singer,singer
U+1F468 U+200D U+1F3A4,👨‍🎤,man singer,man-singer
U+1F469 U+200D U+1F3A4,👩‍🎤,woman singer,woman-singer
U+1F9D1 U+200D U+1F3A8,🧑‍🎨,artist,artist
U+1F468 U+200D U+1F3A8,👨‍🎨,man artist,man-artist
U+1F469 U+200D U+1F3A8,👩‍🎨,woman artist,woman-artist
U+1F9D1 U+200D U+2708 U+FE0F,🧑‍✈️,pilot,pilot
U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,man pilot,man-pilot
U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,woman pilot,woman-pilot
U+1F9D1 U+200D U+1F680,🧑‍🚀,astronaut,astronaut
U+1F468 U+200D U+1F680,👨‍🚀,man astronaut,man-astronaut
U+1F469 U+200D U+1F680,👩‍🚀,woman astronaut,woman-astronaut
U+1F9D1 U+200D U+1F692,🧑‍🚒,firefighter,firefighter
U+1F468 U+200D U+1F692,👨‍🚒,man firefighter,man-firefighter
U+1F469 U+200D U+1F692,👩‍🚒,woman firefighter,woman-firefighter
U+1F46E,👮,police officer,police-officer
U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,man police officer,man-police-officer
U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,woman police officer,woman-police-officer
U+1F575,🕵,detective,detective
U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,man detective,man-detective
U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,woman detective,woman-detective
U+1F482,💂,guard,guard
U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,man guard,man-guard
U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,woman guard,woman-guard
U+1F977,🥷,ninja,ninja
U+1F477,👷,construction worker,construction-worker
U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,man construction worker,man-construction-worker
U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,woman construction worker,woman-construction-worker
U+1FAC5,🫅,person with crown,person-with-crown
U+1F934,🤴,prince,prince
U+1F478,👸,princess,princess
U+1F473,👳,person wearing turban,person-wearing-turban
U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,man wearing turban,man-wearing-turban
U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,woman wearing turban,woman-wearing-turban
U+1F472,👲,person with skullcap,person-with-skullcap
U+1F9D5,🧕,woman with headscarf,woman-with-headscarf
U+1F935,🤵,person in tuxedo,person-in-tuxedo
U+1F935 U+200D U+2642 U+FE0F,🤵‍♂️,man in tuxedo,man-in-tuxedo
U+1F935 U+200D U+2640 U+FE0F,🤵‍♀️,woman in tuxedo,woman-in-tuxedo
U+1F470,👰,person with veil,person-with-veil
U+1F470 U+200D U+2642 U+FE0F,👰‍♂️,man with veil,man-with-veil
U+1F470 U+200D U+2640 U+FE0F,👰‍♀️,woman with veil,woman-with-veil
U+1F930,🤰,pregnant woman,pregnant-woman
U+1FAC3,🫃,pregnant man,pregnant-man
U+1FAC4,🫄,pregnant person,pregnant-person
U+1F931,🤱,breast-feeding,breast-feeding
U+1F469 U+200D U+1F37C,👩‍🍼,woman feeding baby,woman-feeding-baby
U+1F468 U+200D U+1F37C,👨‍🍼,man feeding baby,man-feeding-baby
U+1F9D1 U+200D U+1F37C,🧑‍🍼,person feeding baby,person-feeding-baby
U+1F47C,👼,baby angel,baby-angel
U+1F385,🎅,Santa Claus,santa-claus
U+1F936,🤶,Mrs. Claus,mrs-claus
U+1F9D1 U+200D U+1F384,🧑‍🎄,mx claus,mx-claus
U+1F9B8,🦸,superhero,superhero
U+1F9B8 U+200D U+2642 U+FE0F,🦸‍♂️,man superhero,man-superhero
U+1F9B8 U+200D U+2640 U+FE0F,🦸‍♀️,woman superhero,woman-superhero
U+1F9B9,🦹,supervillain,supervillain
U+1F9B9 U+200D U+2642 U+FE0F,🦹‍♂️,man supervillain,man-supervillain
U+1F9B9 U+200D U+2640 U+FE0F,🦹‍♀️,woman supervillain,woman-supervillain
U+1F9D9,🧙,mage,mage
U+1F9D9 U+200D U+2642 U+FE0F,🧙‍♂️,man mage,man-mage
U+1F9D9 U+200D U+2640 U+FE0F,🧙‍♀️,woman mage,woman-mage
U+1F9DA,🧚,fairy,fairy
U+1F9DA U+200D U+2642 U+FE0F,🧚‍♂️,man fairy,man-fairy
U+1F9DA U+200D U+2640 U+FE0F,🧚‍♀️,woman fairy,woman-fairy
U+1F9DB,🧛,vampire,vampire
U+1F9DB U+200D U+2642 U+FE0F,🧛‍♂️,man vampire,man-vampire
U+1F9DB U+200D U+2640 U+FE0F,🧛‍♀️,woman vampire,woman-vampire
U+1F9DC,🧜,merperson,merperson
U+1F9DC U+200D U+2642 U+FE0F,🧜‍♂️,merman,merman
U+1F9DC U+200D U+2640 U+FE0F,🧜‍♀️,mermaid,mermaid
U+1F9DD,🧝,elf,elf
U+1F9DD U+200D U+2642 U+FE0F,🧝‍♂️,man elf,man-elf
U+1F9DD U+200D U+2640 U+FE0F,🧝‍♀️,woman elf,woman-elf
U+1F9DE,🧞,genie,genie
U+1F9DE U+200D U+2642 U+FE0F,🧞‍♂️,man genie,man-genie
U+1F9DE U+200D U+2640 U+FE0F,🧞‍♀️,woman genie,woman-genie
U+1F9DF,🧟,zombie,zombie
U+1F9DF U+200D U+2642 U+FE0F,🧟‍♂️,man zombie,man-zombie
U+1F9DF U+200D U+2640 U+FE0F,🧟‍♀️,woman zombie,woman-zombie
U+1F9CC,🧌,troll,troll
U+1F486,💆,person getting massage,person-getting-massage
U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,man getting massage,man-getting-massage
U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,woman getting massage,woman-getting-massage
U+1F487,💇,person getting haircut,person-getting-haircut
U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,man getting haircut,man-getting-haircut
U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,woman getting haircut,woman-getting-haircut
U+1F6B6,🚶,person walking,person-walking
U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,man walking,man-walking
U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,woman walking,woman-walking
U+1F9CD,🧍,person standing,person-standing
U+1F9CD U+200D U+2642 U+FE0F,🧍‍♂️,man standing,man-standing
U+1F9CD U+200D U+2640 U+FE0F,🧍‍♀️,woman standing,woman-standing
U+1F9CE,🧎,person kneeling,person-kneeling
U+1F9CE U+200D U+2642 U+FE0F,🧎‍♂️,man kneeling,man-kneeling
U+1F9CE U+200D U+2640 U+FE0F,🧎‍♀️,woman kneeling,woman-kneeling
U+1F9D1 U+200D U+1F9AF,🧑‍🦯,person with white cane,person-with-white-cane
U+1F468 U+200D U+1F9AF,👨‍🦯,man with white cane,man-with-white-cane
U+1F469 U+200D U+1F9AF,👩‍🦯,woman with white cane,woman-with-white-cane
U+1F9D1 U+200D U+1F9BC,🧑‍🦼,person in motorized wheelchair,person-in-motorized-wheelchair
U+1F468 U+200D U+1F9BC,👨‍🦼,man in motorized wheelchair,man-in-motorized-wheelchair
U+1F469 U+200D U+1F9BC,👩‍🦼,woman in motorized wheelchair,woman-in-motorized-wheelchair
U+1F9D1 U+200D U+1F9BD,🧑‍🦽,person in manual wheelchair,person-in-manual-wheelchair
U+1F468 U+200D U+1F9BD,👨‍🦽,man in manual wheelchair,man-in-manual-wheelchair
U+1F469 U+200D U+1F9BD,👩‍🦽,woman in manual wheelchair,woman-in-manual-wheelchair
U+1F3C3,🏃,person running,person-running
U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,man running,man-running
U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,woman running,woman-running
U+1F483,💃,woman dancing,woman-dancing
U+1F57A,🕺,man dancing,man-dancing
U+1F574,🕴,person in suit levitating,person-in-suit-levitating
U+1F46F,👯,people with bunny ears,people-with-bunny-ears
U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,men with bunny ears,men-with-bunny-ears
U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,women with bunny ears,women-with-bunny-ears
U+1F9D6,🧖,person in steamy room,person-in-steamy-room
U+1F9D6 U+200D U+2642 U+FE0F,🧖‍♂️,man in steamy room,man-in-steamy-room
U+1F9D6 U+200D U+2640 U+FE0F,🧖‍♀️,woman in steamy room,woman-in-steamy-room
U+1F9D7,🧗,person climbing,person-climbing
U+1F9D7 U+200D U+2642 U+FE0F,🧗‍♂️,man climbing,man-climbing
U+1F9D7 U+200D U+2640 U+FE0F,🧗‍♀️,woman climbing,woman-climbing
U+1F93A,🤺,person fencing,person-fencing
U+1F3C7,🏇,horse racing,horse-racing
U+26F7,⛷,skier,skier
U+1F3C2,🏂,snowboarder,snowboarder
U+1F3CC,🏌,person golfing,person-golfing
U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,man golfing,man-golfing
U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,woman golfing,woman-golfing
U+1F3C4,🏄,person surfing,person-surfing
U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,man surfing,man-surfing
U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,woman surfing,woman-surfing
U+1F6A3,🚣,person rowing boat,person-rowing-boat
U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,man rowing boat,man-rowing-boat
U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,woman rowing boat,woman-rowing-boat
U+1F3CA,🏊,person swimming,person-swimming
U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,man swimming,man-swimming
U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,woman swimming,woman-swimming
U+26F9,⛹,person bouncing ball,person-bouncing-ball
U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,man bouncing ball,man-bouncing-ball
U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,woman bouncing ball,woman-bouncing-ball
